./map2.txt
1.54566,0.890118,2.0944,3.33358,1.27409,
1.15192,1.20428,2.02458,3.47321,2.04204,
1.309,1.5708,2.23402,3.71755,2.16421,
1.23918,1.71042,2.28638,3.63028,2.51327,
1.13446,2.02458,2.04204,3.31613,2.77507,
1.06465,2.07694,1.74533,3.26377,3.05433,
0.977384,2.32129,1.43117,3.10669,3.35103,
1.01229,2.42601,1.15192,2.94961,3.54302,
0.994838,2.35619,1.02974,2.61799,3.61283,
0.872665,2.49582,0.837758,2.35619,3.92699,
0.523599,2.93215,0.785398,2.19911,3.9619,
0.453786,2.94961,0.785398,2.32129,4.38078,
0.296706,3.24631,0.349066,2.21657,4.5204,
0.296706,3.24631,0.0523599,2.02458,4.55531,
0.349066,3.24631,0.10472,1.62316,4.97419,
0.837758,3.47321,0.0872665,1.5708,5.16617,
