map2.txt
1.54566,0.890118,2.0944,3.33358,1.27409,
1.51957,0.985303,2.02044,3.26862,1.41751,
1.65488,1.04433,2.14697,3.24106,1.45542,
1.79665,1.05005,2.278,3.28805,1.47764,
1.86976,1.18794,2.31051,3.31674,1.59495,
1.85857,1.3211,2.29914,3.29105,1.74107,
1.81795,1.40675,2.21112,3.22259,1.87738,
1.77732,1.4924,2.12309,3.15413,2.01369,
1.7367,1.57804,2.03507,3.08567,2.14999,
1.70015,1.70784,2.01522,3.00468,2.2719,
1.65951,1.79104,1.92436,2.9371,2.4083,
1.61887,1.87424,1.8335,2.86953,2.5447,
1.57822,1.95743,1.74264,2.80195,2.6811,
1.53758,2.04063,1.65178,2.73438,2.8175,
1.49694,2.12383,1.56092,2.6668,2.9539,
1.4563,2.20703,1.47007,2.59923,3.0903,
1.41565,2.29022,1.37921,2.53165,3.22669,
1.37501,2.37342,1.28835,2.46408,3.36309,
1.48843,2.50221,1.24936,2.54217,3.41724,
1.43823,2.57713,1.1597,2.46722,3.55218,
1.38802,2.65205,1.07004,2.39227,3.68713,
1.33782,2.72697,0.980371,2.31732,3.82207,
1.28761,2.80189,0.890707,2.24237,3.95701,
1.23741,2.87681,0.801042,2.16743,4.09196,
1.14965,2.95863,0.835071,2.28772,4.19183,
1.10926,3.02528,0.738219,2.19487,4.31802,
1.06886,3.09192,0.641366,2.10202,4.44421,
1.04052,3.06659,0.564584,1.92371,4.41478,
0.968777,2.8889,0.551698,1.88234,4.45221,
0.872262,2.95526,0.623217,1.74272,4.41132,
0.794135,3.08564,0.716685,1.73259,4.50108,
0.780005,3.2751,0.683436,1.69049,4.53315,
0.792815,3.31904,0.551201,1.66394,4.67356,
0.805625,3.36298,0.418967,1.63739,4.81397,
0.818435,3.40693,0.286732,1.61084,4.95438,
0.837758,3.47321,0.0872665,1.5708,5.16617,
